id, name, nickname, house, imageUrl
1,Petyr Baelish,Littlefinger,Baelish,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/petyr-baelish-512x512.jpg
2,Myrcella Baratheon,null,Baratheon,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/myrcella-baratheon-512x512.jpg
3,Stannis Baratheon,null,Baratheon,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/stannis-512x512.jpg
4,Tommen Baratheon,null,Baratheon,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/tommon-baratheon-512x512.jpg
5,Roose Bolton,null,Bolton,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/roose-bolton-512x512.jpg
6,Brienne of Tarth,Brienne the Beauty,Tarth,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/brienne-of-tarth-512x512.jpg
7,Bronn,null,Lannister,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/bronn-512x512.jpg
8,Theon Greyjoy,null,Greyjoy,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/theon-greyjoy-512x512.jpg
9,Areo Hotah,null,Martell,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/areo-hotah-512x512.jpg
10,Jaqen H'ghar,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/jaqen-hghar-512x512.jpg
11,Cersei Lannister,null,Lannister,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/cersei-lannister-512x512.jpg
12,Jaime Lannister,Kingslayer,Lannister,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/jamie-lannister-512x512.jpg
13,Tyrion Lannister,The Imp,Lannister,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/tyrion-lannister-512x512.jpg
14,Melisandre,The Red Woman,Baratheon,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/melisandre-512x512.jpg
15,Missandei,null,Targaryen,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/missandei-512x512.jpg
16,Doran Martell,null,Martell,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/doran-martell-512x512.jpg
17,Trystane Martell,null,Martell,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/trystane-martell-512x512.jpg
18,Jorah Mormont,null,Targaryen,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/jorah-mormont-512x512.jpg
19,Daario Naharis,null,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/daario-naharis-512x512.jpg
20,Mance Rayder,The King in the North,null,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/mance-rayder-512x512.jpg
21,Ellaria Sand,null,Martell,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/ellaria-sand-512x512.jpg
22,Nymeria Sand,Sand Snake,Martell,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/nymeria-sand-512x512.jpg
23,Obara Sand,Sand Snake,Martell,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/obera-sand-512x512.jpg
24,Tyene Sand,Sand Snake,Martell,http://i.lv3.hbo.com/assets/images/series/game-of-thrones/character/s5/tyene-sand-512x512.jpg
