id, type, description, characterId, points, episode
1,  attendance,             Bran, 29, 1, 1
2,  attendance,             Jon Snow, 26, 1, 1
3,  attendance,             Robb, 81, 1, 1
4,  attendance,             Ned, 79, 1, 1
5,  attendance,             Catelyn, 78, 1, 1
6,  attendance,             Rickon, 80, 1, 1
7,  attendance,             Sansa, 30, 1, 1
8,  attendance,             Septa Mordane, 64, 1, 1
9,  attendance,             Arya, 28, 1, 1
10, attendance,             Rodrik Cassel, 45, 1, 1
11, attendance,             Theon, 8, 1, 1
12, kill (rando),           Ned kills Nights Watch deserter, 79, 10, 1
13, attendance,             Jory Cassell, 44, 1, 1
14, attendance,             Cersei, 11, 1, 1
15, attendance,             Jaime, 12, 1, 1
16, attendance,             Maester Luwin, 59, 1, 1
17, attendance,             Joffrey, 41, 1, 1
18, attendance,             The Hound, 62, 1, 1
19, attendance,             Robert Baratheon, 43, 1, 1
20, attendance,             Hodor, 53, 1, 1
21, attendance,             Myrcella, 2, 1, 1
22, attendance,             Tommen, 4, 1, 1
23, promotion,              Hand of the King, 79, 1, 1
24, attendance,             Tyrion, 13, 1, 1
25, attendance,             Ros, 73, 1, 1
26, naked (whole shebang),  Ros, 73, 25, 1
27, sex,                    with Ros, 13, 20, 1
28, sex,                    with Tyrion, 73, 20, 1
29, attendance,             Dany, 32, 1, 1
30, attendance,             Viserys, 83, 1, 1
31, naked (butt/boobs),     Dany, 32, 15, 1
32, attendance,             Illyrio, 54, 1, 1
33, attendance,             Khal Drogo, 47, 1, 1
34, attendance,             Benjen, 77, 1, 1
35, attendance,             Jorah Mormont, 18, 1, 1
36, sex,                    with Dany, 47, 20, 1
37, sex,                    with Khal Drogo, 32, 20, 1
38, sex,                    with Cersei, 12, 30, 1
39, sex,                    with Jaime, 11, 30, 1
40, knockout,               Jaime throws Bran out the window, 12, 10, 1
41, brutal one-liner,       'I would let his whole tribe fuck you - all forty thousand men and their horses too if thats what it took' Viserys, 83, 10, 1
42, brutal one-liner,       'I dont fight in tournaments because when I fight a man for real I dont want him to know what I can do' Ned, 79, 10, 1
43, brutal one-liner,       'While hes off fucking boars and hunting whores... or is it the other way around?', 12, 10, 1
