"roster_id", "league_id", "user_id", "char_id", "episode"
1, 1, 1, 1, 1
2, 1, 1, 1, 2
3, 1, 1, 1, 3
4, 1, 1, 1, 4
5, 1, 1, 1, 5
6, 1, 1, 1, 6
7, 1, 1, 1, 7
8, 1, 1, 1, 8
9, 1, 1, 1, 9
10, 1, 1, 1, 9
11, 1, 1, 1, 10
12, 1, 1, 2, 1
13, 1, 1, 2, 2
14, 1, 1, 2, 3
15, 1, 1, 2, 4
16, 1, 1, 2, 5
17, 1, 1, 2, 6
18, 1, 1, 2, 7
19, 1, 1, 2, 8
20, 1, 1, 2, 9
21, 1, 1, 2, 10
22, 1, 1, 3, 1
23, 1, 1, 3, 2
24, 1, 1, 3, 3
25, 1, 1, 3, 4
26, 1, 1, 3, 5
27, 1, 1, 3, 6
28, 1, 1, 3, 7
29, 1, 1, 3, 8
30, 1, 1, 3, 9
31, 1, 1, 3, 10
32, 1, 1, 4, 1
33, 1, 1, 4, 2
34, 1, 1, 4, 3
35, 1, 1, 4, 4
36, 1, 1, 4, 5
37, 1, 1, 4, 6
38, 1, 1, 4, 7
39, 1, 1, 4, 8
40, 1, 1, 4, 9
41, 1, 1, 4, 10
42, 1, 1, 5, 1
43, 1, 1, 5, 2
44, 1, 1, 5, 3
45, 1, 1, 5, 4
46, 1, 1, 5, 5
47, 1, 1, 5, 6
48, 1, 1, 5, 7
49, 1, 1, 5, 8
50, 1, 1, 5, 9
51, 1, 1, 5, 10
52, 1, 1, 6, 1
53, 1, 1, 6, 2
54, 1, 1, 6, 3
55, 1, 1, 6, 4
56, 1, 1, 6, 5
57, 1, 1, 6, 6
58, 1, 1, 6, 7
59, 1, 1, 6, 8
60, 1, 1, 6, 9
61, 1, 1, 6, 10
62, 1, 2, 7, 1
63, 1, 2, 7, 2
64, 1, 2, 7, 3
65, 1, 2, 7, 4
66, 1, 2, 7, 5
67, 1, 2, 7, 6
68, 1, 2, 7, 7
69, 1, 2, 7, 8
70, 1, 2, 7, 9
71, 1, 2, 7, 9
72, 1, 2, 7, 10
73, 1, 2, 8, 1
74, 1, 2, 8, 2
75, 1, 2, 8, 3
76, 1, 2, 8, 4
77, 1, 2, 8, 5
78, 1, 2, 8, 6
79, 1, 2, 8, 7
80, 1, 2, 8, 8
81, 1, 2, 8, 9
82, 1, 2, 8, 10
83, 1, 2, 9, 1
84, 1, 2, 9, 2
85, 1, 2, 9, 3
86, 1, 2, 9, 4
87, 1, 2, 9, 5
88, 1, 2, 9, 6
89, 1, 2, 9, 7
90, 1, 2, 9, 8
91, 1, 2, 9, 9
92, 1, 2, 9, 10
93, 1, 2, 10, 1
94, 1, 2, 10, 2
95, 1, 2, 10, 3
96, 1, 2, 10, 4
97, 1, 2, 10, 5
98, 1, 2, 10, 6
99, 1, 2, 10, 7
100, 1, 2, 10, 8
101, 1, 2, 10, 9
102, 1, 2, 10, 10
103, 1, 2, 11, 1
104, 1, 2, 11, 2
105, 1, 2, 11, 3
106, 1, 2, 11, 4
107, 1, 2, 11, 5
108, 1, 2, 11, 6
109, 1, 2, 11, 7
110, 1, 2, 11, 8
111, 1, 2, 11, 9
112, 1, 2, 11, 10 
113, 1, 2, 12, 1
114, 1, 2, 12, 2
115, 1, 2, 12, 3
116, 1, 2, 12, 4
117, 1, 2, 12, 5
118, 1, 2, 12, 6
119, 1, 2, 12, 7
120, 1, 2, 12, 8
121, 1, 2, 12, 9
122, 1, 3, 13, 1
123, 1, 3, 13, 2
124, 1, 3, 13, 3
125, 1, 3, 13, 4
126, 1, 3, 13, 5
127, 1, 3, 13, 6
128, 1, 3, 13, 7
129, 1, 3, 13, 8
130, 1, 3, 13, 9
131, 1, 3, 13, 9
132, 1, 3, 13, 10
133, 1, 3, 14, 1
134, 1, 3, 14, 2
135, 1, 3, 14, 3
136, 1, 3, 14, 4
137, 1, 3, 14, 5
138, 1, 3, 14, 6
139, 1, 3, 14, 7
140, 1, 3, 14, 8
141, 1, 3, 14, 9
142, 1, 3, 14, 10
143, 1, 3, 15, 1
144, 1, 3, 15, 2
145, 1, 3, 15, 3
146, 1, 3, 15, 4
147, 1, 3, 15, 5
148, 1, 3, 15, 6
149, 1, 3, 15, 7
150, 1, 3, 15, 8
151, 1, 3, 15, 9
152, 1, 3, 15, 10
153, 1, 3, 16, 1
154, 1, 3, 16, 2
155, 1, 3, 16, 3
156, 1, 3, 16, 4
157, 1, 3, 16, 5
158, 1, 3, 16, 6
159, 1, 3, 16, 7
160, 1, 3, 16, 8
161, 1, 3, 16, 9
162, 1, 3, 16, 10
163, 1, 3, 17, 1
164, 1, 3, 17, 2
165, 1, 3, 17, 3
166, 1, 3, 17, 4
167, 1, 3, 17, 5
168, 1, 3, 17, 6
169, 1, 3, 17, 7
170, 1, 3, 17, 8
171, 1, 3, 17, 9
172, 1, 3, 17, 10 
173, 1, 3, 18, 1
174, 1, 3, 18, 2
175, 1, 3, 18, 3
176, 1, 3, 18, 4
177, 1, 3, 18, 5
178, 1, 3, 18, 6
179, 1, 3, 18, 7
180, 1, 3, 18, 8
181, 1, 3, 18, 9
182, 1, 3, 18, 10
183, 1, 4, 19, 1
184, 1, 4, 19, 2
185, 1, 4, 19, 3
186, 1, 4, 19, 4
187, 1, 4, 19, 5
188, 1, 4, 19, 6
189, 1, 4, 19, 7
190, 1, 4, 19, 8
191, 1, 4, 19, 9
192, 1, 4, 19, 9
193, 1, 4, 19, 10
194, 1, 4, 20, 1
195, 1, 4, 20, 2
196, 1, 4, 20, 3
197, 1, 4, 20, 4
198, 1, 4, 20, 5
199, 1, 4, 20, 6
200, 1, 4, 20, 7
201, 1, 4, 20, 8
202, 1, 4, 20, 9
203, 1, 4, 20, 10
204, 1, 4, 21, 1
205, 1, 4, 21, 2
206, 1, 4, 21, 3
207, 1, 4, 21, 4
208, 1, 4, 21, 5
209, 1, 4, 21, 6
210, 1, 4, 21, 7
211, 1, 4, 21, 8
212, 1, 4, 21, 9
213, 1, 4, 21, 10
214, 1, 4, 22, 1
215, 1, 4, 22, 2
216, 1, 4, 22, 3
217, 1, 4, 22, 4
218, 1, 4, 22, 5
219, 1, 4, 22, 6
